system,system_name,school,school_name,pool,Indicator,All Students,BHN,ED,EL,Super Subgroup,SWD,Indicator Score (60-40)
20,Bedford County,20,Shelbyville Central High School,HS,Graduation Rate,4,4,3,NA,NA,4,3.9
20,Bedford County,20,Shelbyville Central High School,HS,Ready Graduate,2,1,0,NA,0,0,1.3
20,Bedford County,20,Shelbyville Central High School,HS,Weighted Subgroup Score,2.4,2.5,1.7,2.2,2.2,1.4, 
20,Bedford County,25,Harris Middle School,K8,Achievement,1,1,1,2,1,1,1.1
20,Bedford County,25,Harris Middle School,K8,Growth,2,3,2,3,2,2,2.2
20,Bedford County,25,Harris Middle School,K8,Chronic Absenteeism,3,4,3,3,NA,4,3.2
20,Bedford County,25,Harris Middle School,K8,ELPA,0,0,0,0,NA,NA,0
20,Bedford County,25,Harris Middle School,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,25,Harris Middle School,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,25,Harris Middle School,K8,Weighted Subgroup Score,1.5,1.9,1.5,2.3,1.4,1.7, 
20,Bedford County,33,Community Elementary School,K8,Achievement,2,2,3,NA,2,NA,2.2
20,Bedford County,33,Community Elementary School,K8,Growth,1,2,2,NA,2,1,1.3
20,Bedford County,33,Community Elementary School,K8,Chronic Absenteeism,4,4,4,NA,NA,2,3.7
20,Bedford County,33,Community Elementary School,K8,ELPA,3,3,NA,3,NA,NA,3
20,Bedford County,33,Community Elementary School,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,33,Community Elementary School,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,33,Community Elementary School,K8,Weighted Subgroup Score,2,2.3,2.7,3,2,1.2, 
20,Bedford County,35,Community High School,HS,Achievement,3,4,3,NA,2,NA,3.2
20,Bedford County,35,Community High School,HS,Growth,2,2,2,NA,2,2,2
20,Bedford County,35,Community High School,HS,Chronic Absenteeism,4,4,4,NA,NA,3,3.9
20,Bedford County,35,Community High School,HS,ELPA,NA,NA,NA,NA,NA,NA, 
20,Bedford County,35,Community High School,HS,Graduation Rate,3,NA,4,NA,NA,NA,3.4
20,Bedford County,35,Community High School,HS,Ready Graduate,3,NA,1,NA,1,NA,2.2
20,Bedford County,35,Community High School,HS,Weighted Subgroup Score,2.8,3.2,2.5,NA,1.8,2.3, 
20,Bedford County,37,Community Middle School,K8,Achievement,2,2,2,NA,2,2,2
20,Bedford County,37,Community Middle School,K8,Growth,2,2,2,NA,2,2,2
20,Bedford County,37,Community Middle School,K8,Chronic Absenteeism,1,2,2,NA,NA,4,1.7
20,Bedford County,37,Community Middle School,K8,ELPA,NA,NA,NA,NA,NA,NA, 
20,Bedford County,37,Community Middle School,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,37,Community Middle School,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
20,Bedford County,37,Community Middle School,K8,Weighted Subgroup Score,1.9,2,2,NA,2,2.2, 
20,Bedford County,39,Learning Way Elementary,K8,Achievement,1,2,1,2,1,NA,1.3
20,Bedford County,39,Learning Way Elementary,K8,Growth,3,3,3,3,2,3,3
20,Bedford County,39,Learning Way Elementary,K8,Chronic Absenteeism,3,4,4,4,NA,2,3.2
20,Bedford County,39,Learning Way Elementary,K8,ELPA,3,2,3,3,NA,4,3
20,Bedford County,39,Learning Way Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
